Age_Range,Industry,Job_Title,Annual_Salary,Additional_Monetary_Compensation,Currency,Other_Currency,Country,State/Province,City,Total _Years_of _Professional_Experience,Total_Years_of_Professional_Field_Experience,Highest_Education,Gender
35-44,OUTSOURCED CUSTOMER SERVICE/TECH SUPPORT CALL CENTRE,Customer Service/Tech Support Agent,2400,4000,EUR,NA,Belgium,East Flanders,Gent,11 - 20 years,5-7 years,High School,Woman
25-34,COMPUTING OR TECH,Data Analyst,97000,2000,Other,NA,Malaysia,Unknown,Georgetown,2 - 4 years,2 - 4 years,College Degree,Non-binary
45-54,NONPROFITS,Director Of Development,84000,2000,USD,NA,United States,South Carolina,Georgetown,31 - 40 years,21 - 30 years,College Degree,Woman
35-44,NONPROFITS,Program Manager,62000,2000,USD,NA,United States,Delaware,Georgetown,11 - 20 years,11 - 20 years,Master'S Degree,Woman
55-64,INSURANCE,Commercial Lines Account Manager,64200,0,USD,NA,United States,Massachusetts,Georgetown,31 - 40 years,31 - 40 years,Some College,Woman
25-34,ENGINEERING OR MANUFACTURING,Team Member,60000,20000,USD,NA,United States,Kentucky,Georgetown,8 - 10 years,5-7 years,College Degree,Woman
35-44,GOVERNMENT AND PUBLIC ADMINISTRATION,Community Engagement Coordinator,83720,2000,CAD,NA,Canada,Ontario,Georgian Bay Area,8 - 10 years,8 - 10 years,Master'S Degree,Woman
25-34,FOOD & NUTRITION,Ecommerce Analytics Manager,105000,7000,USD,NA,United States,Maryland,Germantown,8 - 10 years,8 - 10 years,College Degree,Other \ prefer not to answer
25-34,RECRUITMENT OR HR,HR  Manager,50000,0,USD,NA,United States,Maryland,Germantown,8 - 10 years,8 - 10 years,Some College,Woman
25-34,HEALTH CARE,Office Manager,44345,0,USD,NA,United States,Tennessee,Germantown,5-7 years,5-7 years,College Degree,Woman
25-34,MEDIA & DIGITAL,Writer,45000,2500,EUR,NA,Germany,Unknown,Germany,11 - 20 years,2 - 4 years,Some College,Woman
35-44,COMPUTING OR TECH,Director,80000,1000,EUR,NA,Germany,Unknown,Germany,11 - 20 years,11 - 20 years,Some College,Man
25-34,RESEARCH/ACADEMIA,Research Assistant,43500,1800,EUR,NA,Germany,Germany,Germany,1 year or less,1 year or less,Master'S Degree,Woman
35-44,AGRICULTURE OR FORESTRY,International Logistics Manager,101000,15000,USD,NA,United States,California,Geyserville,21 - 30 years,11 - 20 years,College Degree,Woman
35-44,COMPUTING OR TECH,Marketing And Communications Manager,44000,10000,EUR,NA,Belgium,East Flanders,Ghent,11 - 20 years,5-7 years,Master'S Degree,Woman
25-34,COMMUNICATIONS,Project Manager,23010,2000,EUR,NA,Belgium,East Flanders,Ghent,2 - 4 years,2 - 4 years,Master'S Degree,Woman
25-34,LAW,Litigation Paralegal,54200,4000,USD,NA,United States,Washington,Gig Harbor,5-7 years,1 year or less,College Degree,Woman
35-44,COMPUTING OR TECH,Engineering Manager,179000,20000,USD,NA,United States,Arizona,Gilbert,11 - 20 years,11 - 20 years,College Degree,Man
25-34,"MARKETING, ADVERTISING & PR",Graphic Design Supervisor,83000,4000,USD,NA,United States,Arizona,Gilbert,11 - 20 years,11 - 20 years,College Degree,Woman
45-54,HEALTH CARE,MRI Technologist,80000,2000,USD,NA,United States,Arizona,Gilbert,21 - 30 years,11 - 20 years,College Degree,Woman
25-34,HOSPITALITY & EVENTS,Restaurant Assistant General Manager,56000,9000,USD,NA,United States,Arizona,Gilbert,5-7 years,5-7 years,Some College,Man
25-34,ART & DESIGN,Senior User Experience (UX)  Designer,107500,2000,USD,NA,United States,Pennsylvania,Gilbertsville,8 - 10 years,8 - 10 years,College Degree,Woman
35-44,HERITAGE,Archive Assistant,21179,0,GBP,NA,"Scotland, United Kingdom",Scotland,Glasgow,11 - 20 years,2 - 4 years,Master'S Degree,Woman
25-34,ENGINEERING OR MANUFACTURING,Assistant Archivist,25000,1000,GBP,NA,"Scotland, United Kingdom",Scotland,Glasgow,2 - 4 years,2 - 4 years,Master'S Degree,Woman
35-44,"ACCOUNTING, BANKING & FINANCE",Credit Specialist,31000,2500,GBP,NA,"Scotland, United Kingdom",Scotland,Glasgow,11 - 20 years,8 - 10 years,Some College,Woman
25-34,RETAIL,Customer Service Manager,25000,2000,GBP,NA,"Scotland, United Kingdom",Scotland,Glasgow,8 - 10 years,5-7 years,Some College,Woman
25-34,"MARKETING, ADVERTISING & PR",Digital Marketing Assistant,21000,2000,GBP,NA,"Scotland, United Kingdom",Scotland,Glasgow,2 - 4 years,2 - 4 years,College Degree,Woman
35-44,TRAVEL,Director Of Engineering,95000,15000,GBP,NA,"Scotland, United Kingdom",Scotland,Glasgow,11 - 20 years,8 - 10 years,College Degree,Man
25-34,HOSPITALITY & EVENTS,Guest Service Manager,23920,2000,GBP,NA,"Scotland, United Kingdom",Scotland,Glasgow,11 - 20 years,8 - 10 years,College Degree,Woman
45-54,"LEISURE, SPORT & TOURISM",Library Assistant,18000,2000,GBP,NA,"Scotland, United Kingdom",Scotland,Glasgow,21 - 30 years,2 - 4 years,College Degree,Woman
18-24,EDUCATION (PRIMARY/SECONDARY),Nursery Practitioner,15360,0,GBP,NA,"Scotland, United Kingdom",Scotland,Glasgow,2 - 4 years,1 year or less,College Degree,Woman
25-34,"MARKETING, ADVERTISING & PR",PA (Personal Assistant) to CEO /Office Manager,31000,500,GBP,NA,"Scotland, United Kingdom",Scotland,Glasgow,11 - 20 years,8 - 10 years,Some College,Woman
25-34,GOVERNMENT AND PUBLIC ADMINISTRATION,Policy Officer,31500,0,GBP,NA,"Scotland, United Kingdom",Scotland,Glasgow,1 year or less,1 year or less,High School,Woman
25-34,UNIVERSITY ADMINISTRATION,Programme Administrator,25217,2000,GBP,NA,"Scotland, United Kingdom",Scotland,Glasgow,5-7 years,5-7 years,College Degree,Woman
25-34,"MARKETING, ADVERTISING & PR",Search Analyst,25000,0,GBP,NA,"Scotland, United Kingdom",Scotland,Glasgow,5-7 years,2 - 4 years,Master'S Degree,Man
25-34,HOSPITALITY & EVENTS,Senior Analyst,31538,2000,GBP,NA,"Scotland, United Kingdom",Scotland,Glasgow,8 - 10 years,2 - 4 years,College Degree,Man
35-44,BUSINESS OR CONSULTING,Senior Designer,31000,900,GBP,NA,"Scotland, United Kingdom",Scotland,Glasgow,11 - 20 years,11 - 20 years,College Degree,Woman
18-24,COMPUTING OR TECH,Senior Developer,37500,500,GBP,NA,"Scotland, United Kingdom",Scotland,Glasgow,2 - 4 years,2 - 4 years,College Degree,Woman
25-34,EDUCATION (HIGHER EDUCATION),Senior Research Fellow/Assistant Professor,41000,2000,Other,GBP,"Scotland, United Kingdom",Scotland,Glasgow,5-7 years,5-7 years,PH.D.,Woman
25-34,RECRUITMENT OR HR,HR/Payroll Specialist,26400,1584,GBP,NA,United Kingdom,Unknown,Glasgow,5-7 years,2 - 4 years,College Degree,Woman
25-34,UTILITIES & TELECOMMUNICATIONS,Assistant Project Manager,41000,4000,GBP,NA,United Kingdom,Unknown,Glasgow,5-7 years,5-7 years,Some College,Non-binary
25-34,"ACCOUNTING, BANKING & FINANCE",Credit Risk Mi Analyst,41450,9000,GBP,NA,United Kingdom,Unknown,Glasgow,5-7 years,5-7 years,Some College,Man
45-54,UTILITIES & TELECOMMUNICATIONS,Data And Insights Exec,37500,3000,GBP,NA,United Kingdom,Unknown,Glasgow,31 - 40 years,2 - 4 years,Master'S Degree,Man
35-44,COMPUTING OR TECH,Development Manager,90000,10800,GBP,NA,United Kingdom,Unknown,Glasgow,21 - 30 years,11 - 20 years,College Degree,Man
25-34,MEDIA & DIGITAL,Development Producer,36000,2000,GBP,NA,United Kingdom,Unknown,Glasgow,5-7 years,5-7 years,Master'S Degree,Woman
55-64,EDUCATION (HIGHER EDUCATION),Editor,44000,0,GBP,NA,United Kingdom,Unknown,Glasgow,31 - 40 years,21 - 30 years,PH.D.,Woman
35-44,ENGINEERING OR MANUFACTURING,Engineer,42000,0,GBP,NA,United Kingdom,Unknown,Glasgow,11 - 20 years,11 - 20 years,High School,Man
25-34,COMPUTING OR TECH,Engineering Manager,55000,2000,GBP,NA,United Kingdom,Unknown,Glasgow,11 - 20 years,11 - 20 years,College Degree,Man
45-54,"ACCOUNTING, BANKING & FINANCE",Finance Acountant,66000,5000,GBP,NA,United Kingdom,Unknown,Glasgow,21 - 30 years,21 - 30 years,Master'S Degree,Woman
25-34,"ACCOUNTING, BANKING & FINANCE",Finance Assistant,27142,0,GBP,NA,United Kingdom,Unknown,Glasgow,11 - 20 years,5-7 years,Master'S Degree,Woman
25-34,COMPUTING OR TECH,Graduate Software Developer,26000,0,GBP,NA,United Kingdom,Unknown,Glasgow,2 - 4 years,1 year or less,College Degree,Woman
55-64,COMPUTING OR TECH,Head Of Information Systems,50000,800,GBP,NA,United Kingdom,Unknown,Glasgow,21 - 30 years,21 - 30 years,Master'S Degree,Man
35-44,ENGINEERING OR MANUFACTURING,Help Desk Manager,25500,0,GBP,NA,United Kingdom,Unknown,Glasgow,11 - 20 years,8 - 10 years,High School,Man
18-24,HEALTH CARE,Information Analyst,26104,2000,GBP,NA,United Kingdom,Unknown,Glasgow,1 year or less,1 year or less,College Degree,Man
25-34,"ACCOUNTING, BANKING & FINANCE",Insolvency Officer,25000,1200,GBP,NA,United Kingdom,Unknown,Glasgow,8 - 10 years,1 year or less,High School,Man
35-44,NONPROFITS,Performance Officer,43000,0,GBP,NA,United Kingdom,Unknown,Glasgow,11 - 20 years,1 year or less,College Degree,Woman
45-54,MEDIA & DIGITAL,Project Manager,52000,2000,EUR,NA,United Kingdom,Unknown,Glasgow,21 - 30 years,5-7 years,College Degree,Woman
25-34,SCIENCE,Radiation Protection Support Scientist,20152,0,GBP,NA,United Kingdom,Unknown,Glasgow,8 - 10 years,5-7 years,College Degree,Woman
25-34,EDUCATION (HIGHER EDUCATION),Research Associate,40500,0,GBP,NA,United Kingdom,Unknown,Glasgow,5-7 years,5-7 years,PH.D.,Woman
35-44,EDUCATION (HIGHER EDUCATION),Research Development Manager,51034,0,GBP,NA,United Kingdom,Unknown,Glasgow,11 - 20 years,5-7 years,PH.D.,Woman
25-34,GOVERNMENT AND PUBLIC ADMINISTRATION,Research Ethics Manager,25000,2000,GBP,NA,United Kingdom,Unknown,Glasgow,8 - 10 years,2 - 4 years,Master'S Degree,Other \ prefer not to answer
35-44,EDUCATION (HIGHER EDUCATION),Research Manager,39017,0,GBP,NA,United Kingdom,Unknown,Glasgow,8 - 10 years,2 - 4 years,College Degree,Woman
35-44,LAW,Senior Reporter,36000,2000,GBP,NA,United Kingdom,Unknown,Glasgow,11 - 20 years,11 - 20 years,Master'S Degree,Woman
25-34,BUSINESS OR CONSULTING,Senior Security Consultant,105000,2000,GBP,NA,United Kingdom,Unknown,Glasgow,8 - 10 years,8 - 10 years,College Degree,Man
25-34,COMPUTING OR TECH,Senior Software Engineer,62000,6200,GBP,NA,United Kingdom,Unknown,Glasgow,5-7 years,5-7 years,College Degree,Man
35-44,NONPROFITS,Service Manager,34500,0,GBP,NA,United Kingdom,Unknown,Glasgow,11 - 20 years,11 - 20 years,College Degree,Woman
35-44,COMPUTING OR TECH,Software Developer,117000,0,GBP,NA,United Kingdom,Unknown,Glasgow,11 - 20 years,11 - 20 years,College Degree,Man
25-34,COMPUTING OR TECH,Software Engineer,55000,2000,GBP,NA,United Kingdom,Unknown,Glasgow,5-7 years,2 - 4 years,College Degree,Woman
35-44,"ACCOUNTING, BANKING & FINANCE",Team Manager,29995,1650,GBP,NA,United Kingdom,Unknown,Glasgow,11 - 20 years,11 - 20 years,High School,Man
55-64,ENGINEERING OR MANUFACTURING,Technology Manager,72000,2000,GBP,NA,United Kingdom,Unknown,Glasgow,31 - 40 years,21 - 30 years,College Degree,Man
45-54,COMPUTING OR TECH,Test Consultant,45500,300,GBP,NA,United Kingdom,Unknown,Glasgow,21 - 30 years,11 - 20 years,Some College,Woman
35-44,VETERINARY,Veterinary Surgeon,38000,0,GBP,NA,United Kingdom,Unknown,Glasgow,11 - 20 years,11 - 20 years,"Professional Degree (MD, Jd, Etc.)",Woman
25-34,ENGINEERING OR MANUFACTURING,Clerical Officer,26500,1000,GBP,NA,"Scotland, United Kingdom",Scotland,Glasgow,5-7 years,5-7 years,College Degree,Woman
25-34,TRANSPORT OR LOGISTICS,Customs Specialist,27000,0,GBP,NA,"Scotland, United Kingdom",Scotland,Glasgow,5-7 years,2 - 4 years,Master'S Degree,Woman
25-34,MEDIA & DIGITAL,Editor,31200,300,GBP,NA,"Scotland, United Kingdom",Scotland,Glasgow,5-7 years,5-7 years,Master'S Degree,Woman
25-34,RECRUITMENT OR HR,HR  Systems Assistant,24000,0,GBP,NA,"Scotland, United Kingdom",Scotland,Glasgow,2 - 4 years,2 - 4 years,College Degree,Woman
35-44,HEALTH CARE,Client Relationship Manager,32500,3000,GBP,NA,United Kingdom,Unknown,Glasgow,8 - 10 years,5-7 years,High School,Woman
35-44,COMPUTING OR TECH,Principal Consultant,110000,2000,GBP,NA,United Kingdom,Unknown,Glasgow,21 - 30 years,21 - 30 years,Master'S Degree,Man
35-44,EDUCATION (HIGHER EDUCATION),Research Associate,29000,2000,GBP,NA,United Kingdom,Unknown,Glasgow,11 - 20 years,5-7 years,Master'S Degree,Woman
25-34,EDUCATION (HIGHER EDUCATION),Business Intelligence Analyst,77000,2000,USD,NA,United States,New Jersey,Glassboro,5-7 years,5-7 years,College Degree,Man
35-44,EDUCATION (HIGHER EDUCATION),Lecturer,58000,0,USD,NA,United States,New Jersey,Glassboro,11 - 20 years,11 - 20 years,PH.D.,Other \ prefer not to answer
35-44,AGRICULTURE OR FORESTRY,Farm Hand/Sales,26000,6600,USD,NA,United States,Connecticut,Glastonbury,11 - 20 years,2 - 4 years,Some College,Other \ prefer not to answer
35-44,AGRICULTURE OR FORESTRY,CSR (Customer Service Representative),29808,2000,USD,NA,United States,Virginia,Glen Allen,5-7 years,2 - 4 years,College Degree,Non-binary
45-54,HEALTH CARE,Vice President Of Client Services,115000,5000,USD,NA,United States,Maryland,Glen Burnie,21 - 30 years,21 - 30 years,College Degree,Woman
35-44,EDUCATION (HIGHER EDUCATION),Assistant Professor,80000,0,USD,NA,United States,Illinois,Glen Ellyn,2 - 4 years,2 - 4 years,PH.D.,Woman
35-44,GOVERNMENT AND PUBLIC ADMINISTRATION,Administrative Assistant,51088,2000,USD,NA,United States,Colorado,Glendale,11 - 20 years,11 - 20 years,College Degree,Woman
25-34,NONPROFITS,Librarian,55000,0,USD,NA,United States,Arizona,Glendale,8 - 10 years,8 - 10 years,Master'S Degree,Woman
35-44,EDUCATION (HIGHER EDUCATION),Library Technician,45000,2000,USD,NA,United States,Arizona,Glendale,11 - 20 years,11 - 20 years,College Degree,Woman
35-44,BUSINESS SERVICES,Representative,50000,2000,USD,NA,United States,California,Glendale,11 - 20 years,5-7 years,Master'S Degree,Woman
25-34,HEALTH CARE,Senior Analyst,90000,19000,USD,NA,United States,California,Glendale,5-7 years,5-7 years,College Degree,Woman
55-64,EDUCATION (HIGHER EDUCATION),Supervisor,80000,0,USD,NA,United States,Arizona,Glendale,31 - 40 years,11 - 20 years,Master'S Degree,Woman
35-44,HEALTH CARE,Veterinary Technician,40000,0,USD,NA,United States,Arizona,Glendale,11 - 20 years,8 - 10 years,College Degree,Woman
45-54,MEDIA & DIGITAL,QA( Quality Assurance)  Engineer,135200,2000,USD,NA,United States,California,Glendale,21 - 30 years,21 - 30 years,College Degree,Man
45-54,PUBLIC LIBRARY (TECHNICALLY CITY GOVT.?),Administrative Librarian,76302,0,USD,76302.34,United States,Arizona,Glendale,21 - 30 years,21 - 30 years,Master'S Degree,Woman
25-34,"MARKETING, ADVERTISING & PR",Content Writer,50000,0,USD,NA,United States,Illinois,Glendale Heights,5-7 years,2 - 4 years,College Degree,Woman
55-64,SALES,Director Of Human Resources,102000,5000,USD,NA,United States,Illinois,Glendale Heights,31 - 40 years,21 - 30 years,Master'S Degree,Woman
35-44,"MARKETING, ADVERTISING & PR",Senior Account Executive,77500,8000,USD,NA,United States,Illinois,Glendale Heights,11 - 20 years,11 - 20 years,College Degree,Woman
35-44,LIBRARIES (PUBLIC),Youth Services Librarian,46000,0,USD,NA,United States,Illinois,Glendale Heights,11 - 20 years,11 - 20 years,Master'S Degree,Non-binary
35-44,EDUCATION (HIGHER EDUCATION),Professor,90000,3000,USD,NA,United States,California,Glendora,11 - 20 years,8 - 10 years,PH.D.,Woman
18-24,EDUCATION (PRIMARY/SECONDARY),Teacher,42000,0,USD,NA,United States,Georgia,Glennville,2 - 4 years,2 - 4 years,College Degree,Woman
25-34,"LEISURE, SPORT & TOURISM",Assistant Director,50000,2000,USD,NA,United States,New York,Glens Falls,8 - 10 years,8 - 10 years,College Degree,Woman
45-54,"MARKETING, ADVERTISING & PR",Consultant And Copywriter,65000,2000,USD,NA,United States,New York,Glens Falls,21 - 30 years,11 - 20 years,Master'S Degree,Man
35-44,"MARKETING, ADVERTISING & PR",Creative Content Editor,46000,0,USD,NA,United States,New York,Glens Falls,11 - 20 years,5-7 years,College Degree,Woman
35-44,EDUCATION (HIGHER EDUCATION),Associate Professor,75000,1500,USD,NA,United States,Pennsylvania,Glenside,11 - 20 years,11 - 20 years,PH.D.,Woman
25-34,"ACCOUNTING, BANKING & FINANCE",Internal Audit Manager,112500,16875,USD,NA,United States,Illinois,Glenview,8 - 10 years,8 - 10 years,Master'S Degree,Woman
35-44,"ACCOUNTING, BANKING & FINANCE",Mortgage Loan Processor,45000,10000,USD,NA,United States,Colorado,Glenwood Springs,11 - 20 years,8 - 10 years,College Degree,Woman
25-34,"MARKETING, ADVERTISING & PR",Social Media Specialist,38300,1500,GBP,NA,"England,United Kingdom",England,Gloucester,8 - 10 years,8 - 10 years,College Degree,Woman
25-34,COMPUTING OR TECH,Data Officer,26000,500,GBP,NA,United Kingdom,Unknown,Gloucester,5-7 years,2 - 4 years,College Degree,Woman
35-44,COMPUTING OR TECH,IT Support Engineer,29500,1200,GBP,NA,United Kingdom,Unknown,Gloucester,21 - 30 years,11 - 20 years,College Degree,Woman
25-34,COMPUTING OR TECH,Senior Software Engineer,51000,0,GBP,NA,United Kingdom,Unknown,Gloucester,8 - 10 years,8 - 10 years,College Degree,Man
25-34,"ACCOUNTING, BANKING & FINANCE",Team Manager,28735,0,GBP,NA,United Kingdom,Unknown,Gloucester,5-7 years,5-7 years,College Degree,Woman
25-34,EDUCATION (HIGHER EDUCATION),Professional Faculty,62000,0,USD,NA,United States,Virginia,Gloucester,8 - 10 years,8 - 10 years,Master'S Degree,Woman
35-44,GOVERNMENT AND PUBLIC ADMINISTRATION,Senior Program Specialist,142000,0,USD,NA,United States,Massachusetts,Gloucester,11 - 20 years,11 - 20 years,Master'S Degree,Woman
25-34,SOCIAL WORK,Program Manager,60000,2000,USD,NA,United States,New Jersey,Gloucester,8 - 10 years,2 - 4 years,Master'S Degree,Woman
18-24,NONPROFITS,Centre Facilitator,17000,0,GBP,NA,"England,United Kingdom",England,"Gloucester, Gloucestershire.",5-7 years,5-7 years,High School,Woman
25-34,GOVERNMENT AND PUBLIC ADMINISTRATION,Executive Assistant,27770,0,GBP,NA,United Kingdom,Unknown,Gloucestershire,5-7 years,2 - 4 years,College Degree,Woman
18-24,FOOD AND DRINK,Customer Service Advisor,20287,0,GBP,NA,United Kingdom,Unknown,Gloucestershire,5-7 years,2 - 4 years,College Degree,Woman
25-34,SOCIAL WORK,School-Based Intervention Counselor,33280,500,USD,NA,United States,New York,Gloversville,8 - 10 years,2 - 4 years,Master'S Degree,Woman
45-54,EDUCATION (HIGHER EDUCATION),Lecturer,116584,0,AUD/NZD,NA,Australia,Queensland,Gold Coast,21 - 30 years,11 - 20 years,Master'S Degree,Woman
25-34,"ACCOUNTING, BANKING & FINANCE",Senior Tax Accountant,75000,2000,AUD/NZD,NA,Australia,Queensland,Gold Coast,5-7 years,5-7 years,"Professional Degree (MD, Jd, Etc.)",Woman
25-34,"MARKETING, ADVERTISING & PR",Account Manager,35000,2000,USD,NA,United States,Colorado,Golden,8 - 10 years,5-7 years,Master'S Degree,Woman
35-44,ENGINEERING OR MANUFACTURING,IP Paralegal/Technical Librarian,76997,2000,USD,NA,United States,Colorado,Golden,8 - 10 years,5-7 years,College Degree,Woman
25-34,EDUCATION (HIGHER EDUCATION),Research Associate,69000,0,USD,NA,United States,Colorado,Golden,5-7 years,1 year or less,PH.D.,Woman
35-44,SALES,Sales Manager,68600,4800,USD,NA,United States,Colorado,Golden,11 - 20 years,11 - 20 years,Some College,Woman
25-34,ENGINEERING OR MANUFACTURING,Senior Engineer,100000,2500,USD,NA,United States,Colorado,Golden,8 - 10 years,8 - 10 years,PH.D.,Woman
25-34,COMPUTING OR TECH,Senior Software Engineer,160000,2000,USD,NA,United States,Colorado,Golden,8 - 10 years,8 - 10 years,Master'S Degree,Man
25-34,COMPUTING OR TECH,Senior Software Engineer,165500,2000,USD,NA,United States,Colorado,Golden,11 - 20 years,8 - 10 years,College Degree,Woman
25-34,NONPROFITS,Technical Editor,75000,0,USD,NA,United States,Colorado,Golden,2 - 4 years,2 - 4 years,Master'S Degree,Woman
35-44,INSURANCE,Commercial Lines CSR / Sales,56000,2500,USD,NA,United States,"Maine, Massachusetts, New Hampshire, North Carolina",Goldsboro,11 - 20 years,11 - 20 years,Some College,Woman
25-34,UNKNOWN,Contract Administrator,41000,2000,USD,NA,United States,California,Goleta,2 - 4 years,1 year or less,College Degree,Man
35-44,NONPROFITS,Program Manager,84000,12000,CHF,NA,Congo,North Kivu,Goma,8 - 10 years,5-7 years,Master'S Degree,Woman
35-44,RETAIL,Senior Administrative Assistant,60965,4900,USD,NA,United States,Arizona,Goodyear,11 - 20 years,11 - 20 years,Some College,Woman
25-34,EDUCATION (HIGHER EDUCATION),Library Specialist,34299,2000,USD,NA,United States,Maine,Gorham/Portland,8 - 10 years,2 - 4 years,Master'S Degree,Woman
55-64,HEALTH CARE,Chief Digital And Information Officer,130000,0,GBP,NA,United Kingdom,Unknown,Goring By Sea,31 - 40 years,31 - 40 years,Master'S Degree,Woman
35-44,COMPUTING OR TECH,Executive Assistant,48000,0,USD,NA,United States,Indiana,Goshen,8 - 10 years,8 - 10 years,High School,Woman
35-44,GOVERNMENT AND PUBLIC ADMINISTRATION,Admin,34400,2500,EUR,NA,Germany,Unknown,Göttingen,1 year or less,1 year or less,Master'S Degree,Woman
25-34,"ACCOUNTING, BANKING & FINANCE",Lending Assistant,30000,0,USD,NA,United States,Texas,Granbury,11 - 20 years,2 - 4 years,College Degree,Woman
35-44,ENGINEERING OR MANUFACTURING,Civil Engineer,65520,0,USD,NA,United States,North Dakota,Grand Forks,11 - 20 years,2 - 4 years,College Degree,Woman
18-24,RETAIL,Guest Advocate,24000,0,USD,NA,United States,North Dakota,Grand Forks,2 - 4 years,2 - 4 years,Some College,Non-binary
45-54,HEALTH CARE,Office Staff Position,45000,1000,USD,NA,United States,North Dakota,Grand Forks,11 - 20 years,11 - 20 years,College Degree,Woman
25-34,ENGINEERING OR MANUFACTURING,Process Engineer In Training,61500,1500,USD,NA,United States,North Dakota,Grand Forks,1 year or less,1 year or less,College Degree,Woman
35-44,EDUCATION (HIGHER EDUCATION),Systems Librarian,54000,0,USD,NA,United States,North Dakota,Grand Forks,1 year or less,1 year or less,Master'S Degree,Woman
25-34,EDUCATION (PRIMARY/SECONDARY),Teacher,60000,2000,USD,NA,United States,North Dakota,Grand Forks,8 - 10 years,8 - 10 years,Master'S Degree,Woman
45-54,ENGINEERING OR MANUFACTURING,Metrologist,67500,0,USD,NA,United States,Michigan,Grand Haven,31 - 40 years,21 - 30 years,Some College,Man
25-34,HEALTH CARE,Dental Lab Technician,60000,500,USD,NA,United States,Colorado,Grand Junction,11 - 20 years,11 - 20 years,Some College,Woman
25-34,TRANSPORT OR LOGISTICS,Human Resources Coordinator,39520,2500,USD,NA,United States,Colorado,Grand Junction,2 - 4 years,2 - 4 years,Some College,Man
35-44,HEALTH CARE,Registered Nurse,90000,5000,USD,NA,United States,Colorado,Grand Junction,11 - 20 years,11 - 20 years,College Degree,Woman
35-44,EDUCATION (PRIMARY/SECONDARY),Teacher,58000,0,USD,NA,United States,Texas,Grand Prairie,11 - 20 years,11 - 20 years,Master'S Degree,Woman
25-34,INSURANCE,Account Manager,38000,1500,USD,NA,United States,Michigan,Grand Rapids,2 - 4 years,2 - 4 years,Some College,Woman
35-44,COMPUTING OR TECH,Accounting Manager,85000,2000,USD,NA,United States,Michigan,Grand Rapids,11 - 20 years,8 - 10 years,College Degree,Woman
25-34,BUSINESS OR CONSULTING,Administrative Assistant,33280,2000,USD,NA,United States,Michigan,Grand Rapids,8 - 10 years,5-7 years,College Degree,Woman
35-44,NONPROFITS,Annual Fund Manager,57000,0,USD,NA,United States,Michigan,Grand Rapids,11 - 20 years,11 - 20 years,College Degree,Woman
35-44,"ACCOUNTING, BANKING & FINANCE",AR Systems Specialist,57000,5000,USD,NA,United States,Michigan,Grand Rapids,11 - 20 years,8 - 10 years,College Degree,Man
35-44,EDUCATION (HIGHER EDUCATION),Assistant Professor,69000,0,USD,NA,United States,Michigan,Grand Rapids,5-7 years,5-7 years,PH.D.,Woman
45-54,EDUCATION (HIGHER EDUCATION),Associate Department Chair,74000,6000,USD,NA,United States,Michigan,Grand Rapids,21 - 30 years,8 - 10 years,Master'S Degree,Woman
35-44,EDUCATION (HIGHER EDUCATION),Associate Department Chair,61000,2000,USD,NA,United States,Michigan,Grand Rapids,21 - 30 years,11 - 20 years,Master'S Degree,Woman
25-34,CONSULTING OPERATIONS- BIG 4,Associate Director,100000,5000,USD,NA,United States,Michigan,Grand Rapids,11 - 20 years,8 - 10 years,College Degree,Woman
35-44,"ACCOUNTING, BANKING & FINANCE",Associate Director Development,152000,8000,USD,NA,United States,Michigan,Grand Rapids,11 - 20 years,11 - 20 years,College Degree,Man
45-54,EDUCATION (HIGHER EDUCATION),Associate Professor / Department Chair,77000,18000,USD,NA,United States,Michigan,Grand Rapids,11 - 20 years,11 - 20 years,PH.D.,Woman
35-44,WHOLESALE DISTRIBUTION,Branch Manager,100006,50000,USD,NA,United States,Michigan,Grand Rapids,11 - 20 years,8 - 10 years,High School,Man
25-34,"ACCOUNTING, BANKING & FINANCE",Business Controls Analyst,57200,4300,USD,NA,United States,Michigan,Grand Rapids,11 - 20 years,5-7 years,Some College,Woman
18-24,"ACCOUNTING, BANKING & FINANCE",Capital Markets Specialist,42680,1000,USD,NA,United States,Michigan,Grand Rapids,1 year or less,1 year or less,College Degree,Woman
35-44,INSURANCE,Claims Administration Manager,78998,2000,USD,NA,United States,Michigan,Grand Rapids,11 - 20 years,8 - 10 years,College Degree,Woman
35-44,HEALTH CARE,Clinical Research Manager,55086,0,USD,NA,United States,Michigan,Grand Rapids,11 - 20 years,11 - 20 years,Master'S Degree,Woman
25-34,ENGINEERING OR MANUFACTURING,Commercialization Project Manager,93000,15000,USD,NA,United States,Michigan,Grand Rapids,8 - 10 years,8 - 10 years,Master'S Degree,Woman
25-34,"MARKETING, ADVERTISING & PR",Digital Marketing Manager,64000,1000,USD,NA,United States,Michigan,Grand Rapids,2 - 4 years,2 - 4 years,College Degree,Woman
35-44,BUSINESS OR CONSULTING,Director,104000,0,USD,NA,United States,Michigan,Grand Rapids,11 - 20 years,11 - 20 years,College Degree,Woman
25-34,ENGINEERING OR MANUFACTURING,Embedded Test Engineer II,76000,2000,USD,NA,United States,Michigan,Grand Rapids,5-7 years,5-7 years,College Degree,Man
55-64,SOCIAL RESEARCH,Field Interviewer,35000,0,USD,NA,United States,Michigan,Grand Rapids,31 - 40 years,2 - 4 years,Master'S Degree,Woman
